name,model_predict,avg_prob,index
000050832 www.barca,運動/休閒娛樂,0.44946867,649337
001 1 154865036,生活繳費,0.7966105,686303
00199-fuji central,數位影音串流,0.49816063,695422
00205kasumiosihorit,其他,0.62453586,675918
00316 fs mitonishih,一般購物,0.78690875,695642
00無限公司,生活繳費,0.35405964,656410
01 brunch,餐飲,0.5031409,671272
010 精品 服,百貨,0.47709534,674907
01cthgg361 gogi vc,餐飲,0.7731535,697002
01dangg360 gogi vc,外送平台,0.803658,695002
01hcmcj360,其他,0.81734574,688090
020marinerssouvenir,加油,0.5772073,650399
0264 forever 21,一般購物,0.8005522,650663
027 sct-gmm,百貨,0.28089616,663029
028 sct-camp davis,餐飲,0.3210741,683687
03057 dtac suvarnab,交通汽修,0.5000259,678457
0310 matsumoto k,醫療保健/美容,0.71584415,664977
0315 la fair,百貨,0.553529,698392
032c system gmbh,一般購物,0.6683314,660775
033 polo factory st,交通汽修,0.7848567,681166
0357matsumotokiyosh,醫療保健/美容,0.79431695,694125
0387 forever 21,網購,0.77101403,696581
038net,一般購物,0.29439458,656972
041 sct-baan silom,超商超市量販,0.6756541,697429
049-st03 rasapura,餐飲,0.56615317,695486
049-st08 (rasapura,超商超市量販,0.36637095,655421
049-st09 (rasapura,餐飲,0.809395,679771
049-st11 rasapura,超商超市量販,0.5928802,685499
049-st14 (rasapura,餐飲,0.82611483,657296
049-st20 rasapura,餐飲,0.58180654,698990
0508 www.ka-cn.com,其他,0.35688695,682419
0602 forever 21,一般購物,0.78283346,673245
0606matsumoto kiyos,醫療保健/美容,0.80255264,677664
06654,加油,0.5977832,690887
076 sct-motoway inb,交通汽修,0.66931134,675977
0817matsumoto kiyos,醫療保健/美容,0.7474881,662727
0834 matsumotokiyos,醫療保健/美容,0.7982216,663694
083pin* somerfield,一般購物,0.38418993,684103
08cafe air,餐飲,0.72863847,657805
0942matsumoto kiyos,醫療保健/美容,0.79987645,682374
1 1 ionos inc,餐飲,0.49099115,695325
1 2 3 wok,保險,0.44851375,660968
"1 for all, pdfx-cha",教育學費,0.60187864,674237
1 hotel nashville,飯店住宿,0.78967375,679696
1 to 1 consultation,教育學費,0.5094846,678113
1+1買一送一茶飲專賣店,餐飲,0.6911688,687592
1-2-3 kirkenes,旅遊,0.54459757,699671
1-2-3 moi,生活繳費,0.7619149,672118
1. fc union berlin,運動/休閒娛樂,0.52925605,661434
"10,188(01/03期",加油,0.58721274,687045
10/10 hope,網購,0.4179121,671927
1001 app gf cr 001,超商超市量販,0.36683968,652664
1001 caffe nero mil,餐飲,0.70453995,682925
1001st eshuti,運動/休閒娛樂,0.5382058,659261
1003 amc sports cr,加油,0.79631007,680136
10032 cava usc vill,超商超市量販,0.4333494,681316
1005 matsumoto k,交通汽修,0.7156377,676892
100housedesign,其他,0.5887668,667277
100power益百利,百貨,0.5763472,670381
100x academy,醫療保健/美容,0.34393716,679052
101 noodle express,交通汽修,0.5791976,650857
1010湘料理,餐飲,0.8139361,656019
101n,旅遊,0.66925323,649256
101tbc sapporohonte,飯店住宿,0.71214163,684452
101文具(八德中華店,教育學費,0.77638364,685354
101文具(逢甲店,教育學費,0.7917049,698432
101文具天堂 大甲店,教育學費,0.7764358,690526
103 coffee-chow kit,餐飲,0.5622737,650710
1031 extra jevnaker,一般購物,0.54876155,654210
1048 marina view ph,飯店住宿,0.70837367,667558
104ga,醫療保健/美容,0.51285946,675469
108 macha saro 一,餐飲,0.8258175,652656
109 sct-big c samui,超商超市量販,0.7561064,694649
109cinemas futakota,數位影音串流,0.5147737,695034
109cinemas nagoya,超商超市量販,0.40088254,685648
10a-10b-10c le than,飯店住宿,0.41541797,674158
10sg6302-gggshogunr,一般購物,0.54378587,656922
11 hof s hut torra,一般購物,0.644249,691729
11 westside 001,餐飲,0.79536116,696602
"11,983(01/03期",其他,0.7639554,669692
110 sct-bangkok med,一般購物,0.29802284,688736
111年,醫療保健/美容,0.46507847,664611
111年嘉義縣議員擬參,加油,0.51091623,656130
111年彰化縣議員擬參,生活繳費,0.3795682,656576
111年高雄市議員黃文,生活繳費,0.65469414,656549
1135 matsumoto kiyo,超商超市量販,0.26743665,698585
114 tetsuichi tokyo,餐飲,0.7133426,664550
1182 matsumoto kiyo,醫療保健/美容,0.692221,689208
11tica d m,飯店住宿,0.87599957,657067
120 project manag,網購,0.29820415,653901
1209 jackson inc,一般購物,0.46671242,683886
121 gm nizami 96,加油,0.5325725,690863
1212,網購,0.7206728,680585
1212玩樂設計,教育學費,0.69740605,663972
123 entrails konkuk,教育學費,0.75038874,684542
123fleurs,超商超市量販,0.2732916,649998
123熱炒食堂,餐飲,0.81844443,663978
123甘草芭樂,餐飲,0.8075435,699745
1245 matsumoto kiyo,醫療保健/美容,0.785405,661874
12783 zh paseoquere,加油,0.5386682,688005
12vpx.com* px,醫療保健/美容,0.637918,699400
12鮮築,餐飲,0.8212462,672253
"13,489(01/03期",其他,0.77746135,676697
